# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: illegal.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             184   N   00003378   00000317   000033d4   ---        --------
             187   N   000033d4   34129073   000033d8   x05_t0     0000310c
             188   N   000033d8   30200073   000033dc   ---        --------
             190   N   000033dc   00200337   0000310c   ---        --------
             193   N   0000310c   80028293   00003110   x05_t0     00002000
             194   N   00003110   3002b073   00003114   x05_t0     00001800
             195   N   00003114   00001337   00003118   ---        --------
             196   N   00003118   00001337   00003118   ---        --------
             197   N   00003118   80030313   0000311c   x06_t1     00001000
             198   N   0000311c   30032073   00003120   x06_t1     00000800
             199   N   00003120   300023f3   00003124   ---        --------
             200   N   00003124   300023f3   00003124   ---        --------
             201   N   00003124   0053f3b3   00003128   x07_t2     00001880
             202   N   00003128   0e731063   0000312c   x07_t2     00001800
             203   N   0000312c   34415073   0000320c   ---        --------
             206   N   0000320c   000e0593   00003210   ---        --------
             207   N   00003210   00000513   00003214   x11_a1     00000002
             208   N   00003214   00000073   00003218   x10_a0     00000000
             209   E   00003218   00000013   00001000   mstatus    00001800
             209   E   00003218   00000013   00001000   mepc       00003218
             209   E   00003218   00000013   00001000   mcause     0000000b
             209   E   00003218   00000013   00001000   mtval      00000000
             212   N   00001000   000047a1   00001004   x14_a4     0000000b
             213   N   00001004   04f70763   00001006   x15_a5     00000008
             214   N   00001006   000047a5   0000100a   ---        --------
             215   N   0000100a   04f70463   0000100c   x15_a5     00000009
             216   N   0000100c   000047ad   00001010   ---        --------
             217   N   00001010   04f70163   00001012   x15_a5     0000000b
             218   N   00001012   00004789   00001054   ---        --------
             221   N   00001054   00000013   00003500   ---        --------
             224   N   00003500   bf428293   00003504   x05_t0     00000500
             225   N   00003504   00008282   00003508   x05_t0     000000f4
             226   N   00003508   00000013   000000f4   ---        --------
             229   N   000000f4   0000006f   000000f8   ---        --------
             230   N   000000f8   ffffffff   000000f8   ---        --------
